Time;Order;SKU;MU;TU;Module;Step;Event
252,00;0;0;0;7;2;Preshaper;Release TU
252,00;1501;501;4;101;1;Conditioner;End Process
252,00;1503;503;12;11;3;Melter;Start Process
252,10;1505;505;6;56;3;Preshaper;End Process
252,10;1504;504;9;10;3;Preshaper;Queue Up
252,10;0;0;0;58;3;Preshaper;Queue Down
252,10;1504;504;9;10;3;Preshaper;Start Process
254,00;1503;503;7;57;2;Preshaper;End Process
254,00;1502;502;8;9;2;Preshaper;Start Process
254,10;1505;505;11;0;4;Melter;Queue Up
254,10;1505;505;11;5;4;Melter;Start Process
255,00;1501;501;4;101;1;Shaper;Queue Up
255,00;1501;501;4;101;1;Shaper;Start Process
255,10;1506;506;5;104;2;Shaper;End Process
256,00;0;0;0;51;4;Preshaper;Queue Down
256,00;0;0;0;54;1;Preshaper;Queue Down
257,00;1501;501;4;101;1;Shaper;End Process
257,10;1505;505;6;56;3;Conditioner;Queue Up
257,10;0;0;0;106;3;Conditioner;Queue Down
257,10;1505;505;6;56;3;Conditioner;Start Process
257,10;0;0;0;106;3;Conditioner;Queue Down
258,00;1506;506;15;0;3;Melter;Queue Up
258,00;0;0;0;12;3;Melter;Queue Down
258,00;1503;503;12;11;3;Melter;End Process
258,00;1506;506;15;12;3;Melter;Start Process
258,10;0;0;0;103;4;Conditioner;Queue Down
258,10;0;0;0;56;3;Conditioner;Release TU
259,00;1503;503;7;57;2;Conditioner;Queue Up
259,00;0;0;0;107;2;Conditioner;Queue Down
259,00;1503;503;7;57;2;Conditioner;Start Process
259,00;0;0;0;107;2;Conditioner;Queue Down
260,00;1501;501;13;0;1;Melter;Queue Up
260,00;0;0;0;57;2;Conditioner;Release TU
260,00;1501;501;13;1;1;Melter;Start Process
262,10;1505;505;11;5;4;Melter;End Process
262,10;1505;505;6;106;3;Conditioner;End Process
263,00;1503;503;7;107;2;Conditioner;End Process
264,00;1506;506;15;12;3;Melter;End Process
264,00;1501;501;13;1;1;Melter;End Process
265,10;1505;505;6;106;2;Shaper;Queue Up
265,10;1505;505;6;106;2;Shaper;Start Process
266,00;1503;503;7;107;1;Shaper;Queue Up
266,00;1503;503;7;107;1;Shaper;Start Process
267,10;0;0;0;58;3;Preshaper;Queue Down
268,00;1502;502;14;0;2;Melter;Queue Up
268,00;0;0;0;13;2;Melter;Queue Down
268,00;0;0;0;9;2;Preshaper;Release TU
268,00;1503;503;12;11;2;Preshaper;Queue Up
268,00;0;0;0;59;2;Preshaper;Queue Down
268,00;1503;503;7;107;1;Shaper;End Process
268,00;1502;502;14;13;2;Melter;Start Process
268,10;0;0;0;10;3;Preshaper;Release TU
269,10;0;0;0;8;4;Preshaper;Release TU
269,10;1505;505;6;106;2;Shaper;End Process
270,10;1504;504;9;58;3;Preshaper;End Process
271,10;1506;506;10;51;4;Preshaper;End Process
272,10;1505;505;16;0;4;Melter;Queue Up
272,10;1505;505;11;5;3;Preshaper;Queue Up
272,10;0;0;0;60;3;Preshaper;Queue Down
272,10;1505;505;16;6;4;Melter;Start Process
272,10;1505;505;11;5;3;Preshaper;Start Process
273,00;0;0;0;107;3;Conditioner;Queue Down
274,00;1506;506;15;12;4;Preshaper;Queue Up
274,00;1501;501;13;1;1;Preshaper;Queue Up
274,00;1502;502;14;13;2;Melter;End Process
274,00;1506;506;15;12;4;Preshaper;Start Process
274,00;1501;501;13;1;1;Preshaper;Start Process
275,10;1504;504;9;58;3;Conditioner;Queue Up
275,10;0;0;0;108;3;Conditioner;Queue Down
275,10;1504;504;9;58;3;Conditioner;Start Process
275,10;0;0;0;108;3;Conditioner;Queue Down
276,10;1506;506;10;51;4;Conditioner;Queue Up
276,10;0;0;0;58;3;Conditioner;Release TU
276,10;1506;506;10;51;4;Conditioner;Start Process
276,10;0;0;0;101;4;Conditioner;Queue Down
277,10;0;0;0;51;4;Conditioner;Release TU
280,10;1505;505;16;6;4;Melter;End Process
280,10;1504;504;9;107;3;Conditioner;End Process
281,00;0;0;0;59;2;Preshaper;Queue Down
281,00;1502;502;8;59;2;Preshaper;End Process
281,00;1503;503;12;11;2;Preshaper;Start Process
282,10;1506;506;10;103;4;Conditioner;End Process
283,10;1504;504;9;107;2;Shaper;Queue Up
283,10;1504;504;9;107;2;Shaper;Start Process
284,00;1503;503;17;0;3;Melter;Queue Up
284,00;0;0;0;14;3;Melter;Queue Down
284,00;1502;502;14;13;2;Preshaper;Queue Up
284,00;0;0;0;61;2;Preshaper;Queue Down
284,00;1503;503;17;14;3;Melter;Start Process
285,10;1506;506;10;103;2;Shaper;Queue Up
286,00;0;0;0;1;1;Preshaper;Release TU
286,00;1502;502;8;59;2;Conditioner;Queue Up
286,00;0;0;0;109;2;Conditioner;Queue Down
286,00;1502;502;8;59;2;Conditioner;Start Process
286,00;0;0;0;109;2;Conditioner;Queue Down
287,00;0;0;0;59;2;Conditioner;Release TU
287,10;0;0;0;60;3;Preshaper;Queue Down
287,10;1504;504;9;107;2;Shaper;End Process
287,10;1506;506;10;103;2;Shaper;Start Process
288,00;1501;501;13;54;1;Preshaper;End Process
288,10;0;0;0;55;4;Preshaper;Queue Down
288,10;0;0;0;5;3;Preshaper;Release TU
289,10;1506;506;20;0;4;Melter;Queue Up
289,10;1506;506;20;7;4;Melter;Start Process
290,00;1503;503;17;14;3;Melter;End Process
290,00;1502;502;8;109;2;Conditioner;End Process
290,10;1504;504;18;0;1;Melter;Queue Up
290,10;1505;505;11;60;3;Preshaper;End Process
290,10;1505;505;16;6;3;Preshaper;Queue Up
290,10;1504;504;18;4;1;Melter;Start Process
290,10;1505;505;16;6;3;Preshaper;Start Process
291,10;1506;506;10;103;2;Shaper;End Process
292,00;1501;501;19;0;2;Melter;Queue Up
292,00;0;0;0;15;2;Melter;Queue Down
292,00;0;0;0;12;4;Preshaper;Release TU
292,00;1501;501;19;15;2;Melter;Start Process
293,00;1501;501;13;54;1;Conditioner;Queue Up
293,00;1502;502;8;109;1;Shaper;Queue Up
293,00;1501;501;13;54;1;Conditioner;Start Process
293,00;1502;502;8;109;1;Shaper;Start Process
293,00;0;0;0;102;1;Conditioner;Queue Down
294,00;1506;506;15;55;4;Preshaper;End Process
294,00;0;0;0;54;1;Conditioner;Release TU
294,10;1504;504;18;4;1;Melter;End Process
294,10;0;0;0;107;2;Conditioner;Queue Down
295,00;0;0;0;11;2;Preshaper;Release TU
295,00;1502;502;8;109;1;Shaper;End Process
295,10;1505;505;11;60;3;Conditioner;Queue Up
295,10;1505;505;11;60;3;Conditioner;Start Process
295,10;0;0;0;106;3;Conditioner;Queue Down
296,00;1501;501;13;105;1;Conditioner;End Process
296,10;0;0;0;60;3;Conditioner;Release TU
297,00;0;0;0;61;2;Preshaper;Queue Down
297,00;1503;503;12;61;2;Preshaper;End Process
297,00;1502;502;14;13;2;Preshaper;Start Process
297,10;1506;506;20;7;4;Melter;End Process
298,00;1501;501;19;15;2;Melter;End Process
299,00;0;0;0;52;1;Preshaper;Queue Down
299,00;1506;506;15;55;4;Conditioner;Queue Up
299,00;1501;501;13;105;1;Shaper;Queue Up
299,00;1506;506;15;55;4;Conditioner;Start Process
299,00;1501;501;13;105;1;Shaper;Start Process
299,00;0;0;0;104;4;Conditioner;Queue Down
300,00;1503;503;22;0;4;Melter;Queue Up
300,00;1503;503;17;14;2;Preshaper;Queue Up
300,00;0;0;0;55;4;Conditioner;Release TU
300,00;1503;503;22;9;4;Melter;Start Process
300,10;1505;505;11;108;3;Conditioner;End Process
301,00;1501;501;13;105;1;Shaper;End Process
302,00;1503;503;12;61;2;Conditioner;Queue Up
302,00;0;0;0;110;2;Conditioner;Queue Down
302,00;1503;503;12;61;2;Conditioner;Start Process
302,00;0;0;0;110;2;Conditioner;Queue Down
303,00;0;0;0;61;2;Conditioner;Release TU
303,10;1505;505;11;108;2;Shaper;Queue Up
303,10;1505;505;11;108;2;Shaper;Start Process
304,10;1504;504;18;4;3;Preshaper;Queue Up
305,00;1506;506;15;101;4;Conditioner;End Process
305,10;0;0;0;58;3;Preshaper;Queue Down
306,00;1503;503;12;107;2;Conditioner;End Process
306,10;0;0;0;6;3;Preshaper;Release TU
307,10;1506;506;20;7;4;Preshaper;Queue Up
307,10;1505;505;11;108;2;Shaper;End Process
307,10;1506;506;20;7;4;Preshaper;Start Process
308,00;1501;501;19;15;1;Preshaper;Queue Up
308,00;1503;503;22;9;4;Melter;End Process
308,00;1506;506;15;101;2;Shaper;Queue Up
308,00;1501;501;19;15;1;Preshaper;Start Process
308,00;1506;506;15;101;2;Shaper;Start Process
308,10;1505;505;21;0;3;Melter;Queue Up
308,10;1505;505;16;58;3;Preshaper;End Process
308,10;1504;504;18;4;3;Preshaper;Start Process
308,10;1505;505;21;1;3;Melter;Start Process
309,00;1503;503;12;107;1;Shaper;Queue Up
309,00;1503;503;12;107;1;Shaper;Start Process
310,00;0;0;0;59;2;Preshaper;Queue Down
311,00;0;0;0;56;4;Preshaper;Queue Down
311,00;0;0;0;13;2;Preshaper;Release TU
311,00;1503;503;12;107;1;Shaper;End Process
312,00;1506;506;15;101;2;Shaper;End Process
313,00;1502;502;14;59;2;Preshaper;End Process
313,00;1503;503;17;14;2;Preshaper;Start Process
313,10;1505;505;16;58;3;Conditioner;Queue Up
313,10;0;0;0;111;3;Conditioner;Queue Down
313,10;1505;505;16;58;3;Conditioner;Start Process
313,10;0;0;0;111;3;Conditioner;Queue Down
314,10;1505;505;21;1;3;Melter;End Process
314,10;0;0;0;58;3;Conditioner;Release TU
316,00;1502;502;23;0;1;Melter;Queue Up
316,00;1502;502;23;2;1;Melter;Start Process
318,00;1503;503;22;9;2;Preshaper;Queue Up
318,00;1502;502;14;59;2;Conditioner;Queue Up
318,00;0;0;0;112;2;Conditioner;Queue Down
318,00;1502;502;14;59;2;Conditioner;Start Process
318,00;0;0;0;112;2;Conditioner;Queue Down
318,10;1505;505;16;106;3;Conditioner;End Process
319,00;0;0;0;59;2;Conditioner;Release TU
320,00;0;0;0;15;1;Preshaper;Release TU
320,00;1502;502;23;2;1;Melter;End Process
321,10;1505;505;16;106;2;Shaper;Queue Up
321,10;1505;505;16;106;2;Shaper;Start Process
322,00;1501;501;19;52;1;Preshaper;End Process
322,00;1502;502;14;110;2;Conditioner;End Process
323,10;0;0;0;51;3;Preshaper;Queue Down
324,00;1501;501;27;0;1;Melter;Queue Up
324,00;1501;501;27;3;1;Melter;Start Process
324,10;0;0;0;4;3;Preshaper;Release TU
324,10;1505;505;21;1;3;Preshaper;Queue Up
324,10;0;0;0;62;3;Preshaper;Queue Down
325,00;1502;502;14;110;1;Shaper;Queue Up
325,00;1502;502;14;110;1;Shaper;Start Process
325,10;1506;506;25;0;4;Melter;Queue Up
325,10;0;0;0;7;4;Preshaper;Release TU
325,10;1505;505;16;106;2;Shaper;End Process
325,10;1506;506;25;10;4;Melter;Start Process
326,00;0;0;0;55;2;Preshaper;Queue Down
326,10;1504;504;24;0;2;Melter;Queue Up
326,10;1504;504;18;51;3;Preshaper;End Process
326,10;1505;505;21;1;3;Preshaper;Start Process
326,10;1504;504;24;6;2;Melter;Start Process
327,00;0;0;0;14;2;Preshaper;Release TU
327,00;1501;501;19;52;1;Conditioner;Queue Up
327,00;1502;502;14;110;1;Shaper;End Process
327,00;1501;501;19;52;1;Conditioner;Start Process
327,00;0;0;0;103;1;Conditioner;Queue Down
327,10;1506;506;20;56;4;Preshaper;End Process
328,00;1501;501;27;3;1;Melter;End Process
328,00;0;0;0;52;1;Conditioner;Release TU
329,00;1503;503;17;55;2;Preshaper;End Process
329,00;1503;503;22;9;2;Preshaper;Start Process
330,00;1502;502;23;2;2;Preshaper;Queue Up
330,00;0;0;0;63;2;Preshaper;Queue Down
330,00;1501;501;19;102;1;Conditioner;End Process
331,10;1504;504;18;51;3;Conditioner;Queue Up
331,10;1504;504;18;51;3;Conditioner;Start Process
331,10;0;0;0;101;3;Conditioner;Queue Down
332,00;1502;502;28;0;1;Melter;Queue Up
332,00;1502;502;28;15;1;Melter;Start Process
332,10;1504;504;24;6;2;Melter;End Process
332,10;1506;506;20;56;4;Conditioner;Queue Up
332,10;0;0;0;51;3;Conditioner;Release TU
332,10;1506;506;20;56;4;Conditioner;Start Process
332,10;0;0;0;105;4;Conditioner;Queue Down
333,00;0;0;0;53;1;Preshaper;Queue Down
333,00;1501;501;19;102;1;Shaper;Queue Up
333,00;1501;501;19;102;1;Shaper;Start Process
333,10;1506;506;25;10;4;Melter;End Process
333,10;0;0;0;56;4;Conditioner;Release TU
334,00;1503;503;17;55;2;Conditioner;Queue Up
334,00;1503;503;17;55;2;Conditioner;Start Process
334,00;0;0;0;110;2;Conditioner;Queue Down
335,00;1501;501;19;102;1;Shaper;End Process
335,00;0;0;0;55;2;Conditioner;Release TU
336,00;1502;502;28;15;1;Melter;End Process
336,10;1504;504;18;111;3;Conditioner;End Process
338,00;1501;501;27;3;1;Preshaper;Queue Up
338,00;1503;503;17;112;2;Conditioner;End Process
338,00;1501;501;27;3;1;Preshaper;Start Process
338,10;1506;506;20;104;4;Conditioner;End Process
339,10;1504;504;18;111;2;Shaper;Queue Up
339,10;1504;504;18;111;2;Shaper;Start Process
341,00;1503;503;17;112;1;Shaper;Queue Up
341,00;1503;503;17;112;1;Shaper;Start Process
341,10;0;0;0;62;3;Preshaper;Queue Down
341,10;1506;506;20;104;2;Shaper;Queue Up
342,10;0;0;0;1;3;Preshaper;Release TU
342,10;1504;504;24;6;3;Preshaper;Queue Up
343,00;0;0;0;9;2;Preshaper;Release TU
343,00;0;0;0;63;2;Preshaper;Queue Down
343,00;1503;503;17;112;1;Shaper;End Process
343,10;1506;506;25;10;4;Preshaper;Queue Up
343,10;1504;504;18;111;2;Shaper;End Process
343,10;1506;506;20;104;2;Shaper;Start Process
343,10;1506;506;25;10;4;Preshaper;Start Process
344,10;1505;505;26;0;3;Melter;Queue Up
344,10;1505;505;21;62;3;Preshaper;End Process
344,10;1504;504;24;6;3;Preshaper;Start Process
344,10;0;0;0;57;4;Preshaper;Queue Down
344,10;1505;505;26;5;3;Melter;Start Process
345,00;1503;503;22;63;2;Preshaper;End Process
345,00;1502;502;23;2;2;Preshaper;Start Process
346,00;1502;502;28;15;2;Preshaper;Queue Up
347,10;1506;506;20;104;2;Shaper;End Process
348,00;1503;503;29;0;4;Melter;Queue Up
348,00;1503;503;29;8;4;Melter;Start Process
349,10;1505;505;21;62;3;Conditioner;Queue Up
349,10;1505;505;21;62;3;Conditioner;Start Process
349,10;0;0;0;102;3;Conditioner;Queue Down
350,00;0;0;0;3;1;Preshaper;Release TU
350,00;1503;503;22;63;2;Conditioner;Queue Up
350,00;1503;503;22;63;2;Conditioner;Start Process
350,00;0;0;0;106;2;Conditioner;Queue Down
350,10;1505;505;26;5;3;Melter;End Process
350,10;0;0;0;62;3;Conditioner;Release TU
351,00;0;0;0;63;2;Conditioner;Release TU
352,00;1501;501;27;53;1;Preshaper;End Process
354,00;1503;503;22;110;2;Conditioner;End Process
354,10;1505;505;21;101;3;Conditioner;End Process
356,00;1501;501;31;0;1;Melter;Queue Up
356,00;1503;503;29;8;4;Melter;End Process
356,00;1501;501;31;4;1;Melter;Start Process
357,00;1501;501;27;53;1;Conditioner;Queue Up
357,00;1503;503;22;110;1;Shaper;Queue Up
357,00;1501;501;27;53;1;Conditioner;Start Process
357,00;1503;503;22;110;1;Shaper;Start Process
357,00;0;0;0;109;1;Conditioner;Queue Down
357,10;1505;505;21;101;2;Shaper;Queue Up
357,10;1505;505;21;101;2;Shaper;Start Process
358,00;0;0;0;56;2;Preshaper;Queue Down
358,00;0;0;0;53;1;Conditioner;Release TU
359,00;0;0;0;2;2;Preshaper;Release TU
359,00;1503;503;22;110;1;Shaper;End Process
359,10;0;0;0;52;3;Preshaper;Queue Down
360,00;1501;501;31;4;1;Melter;End Process
360,00;1501;501;27;103;1;Conditioner;End Process
360,10;0;0;0;6;3;Preshaper;Release TU
360,10;1505;505;26;5;3;Preshaper;Queue Up
361,00;1502;502;23;56;2;Preshaper;End Process
361,00;1502;502;28;15;2;Preshaper;Start Process
361,10;0;0;0;10;4;Preshaper;Release TU
361,10;1506;506;32;0;3;Melter;Queue Up
